FID,FireName,FireNo,Label,StartDate,EndDate,AreaHa,PerimeterM,Verdate,Type,Season,ID,Year,Year_Con,Shape__Area,Shape__Length
7982,Hazlewood,25420,2008-09 Wildfire,2009/02/02 00:00:00+00,,353.31501522,16106.2946398,26/03/2020,Wildfire,2008-09,8037,2008,2008/01/01 00:00:00+00,3527451.13671875,16093.305526398
7983,Redcliff Fire,25433,2008-09 Wildfire,2009/02/03 00:00:00+00,,1.51826,461.30036186,26/03/2020,Wildfire,2008-09,8038,2008,2008/01/01 00:00:00+00,15154.87109375,460.878959268896
7984,Wyangla Recreation Area,25670,2008-09 Wildfire,2009/02/16 00:00:00+00,,5.85279946,1226.88864792,26/03/2020,Wildfire,2008-09,8039,2008,2008/01/01 00:00:00+00,58425.75,1225.8164759069
7985,"""Mansfield""",26582,2009-10 Wildfire,2009/08/25 00:00:00+00,,2.25372925,788.51479374,26/03/2020,Wildfire,2009-10,8040,2009,2009/01/01 00:00:00+00,22565.19140625,789.002715350481
7986,Goondiwindi St Grass Fire,27720,2009-10 Wildfire,2009/10/16 00:00:00+00,,0.13147863,145.84902994,26/03/2020,Wildfire,2009-10,8041,2009,2009/01/01 00:00:00+00,1319.51171875,146.111014741999
7987,Keringal fire,27841,2009-10 Wildfire,2009/10/22 00:00:00+00,,0.93711011,450.40343952,26/03/2020,Wildfire,2009-10,8042,2009,2009/01/01 00:00:00+00,9357.82421875,450.084163025561
7988,Fish Farm Road,27933,2009-10 Wildfire,2009/10/24 00:00:00+00,,6.83229568,1415.38029253,26/03/2020,Wildfire,2009-10,8043,2009,2009/01/01 00:00:00+00,68359.7734375,1415.76131910718
7989,Garah Stubble,28108,2009-10 Wildfire,2009/11/03 00:00:00+00,,432.83133763,8318.64319817,26/03/2020,Wildfire,2009-10,8044,2009,2009/01/01 00:00:00+00,4342406.88671875,8332.18663066613
7990,Grattai Rd Hay/Grass,28158,2009-10 Wildfire,2009/11/04 00:00:00+00,,1.6230601,623.64279579,26/03/2020,Wildfire,2009-10,8045,2009,2009/01/01 00:00:00+00,16268.38671875,624.368231567182
7991,Chinaman Lane Grass Fire,28165,2009-10 Wildfire,2009/11/04 00:00:00+00,,0.01476943,59.58769347,26/03/2020,Wildfire,2009-10,8046,2009,2009/01/01 00:00:00+00,148.05859375,59.6608508831705
7992,Murrumbilla Lane Header/Wheat,28182,2009-10 Wildfire,2009/11/05 00:00:00+00,,3.04011757,692.4445396,26/03/2020,Wildfire,2009-10,8047,2009,2009/01/01 00:00:00+00,30427.734375,692.74687583976
7993,Menindee Rail Fire,0,2005-06 Wildfire,2006/01/17 00:00:00+00,,4.95575092,1052.51003148,26/03/2020,Wildfire,2005-06,8048,2005,2005/01/01 00:00:00+00,49472.74609375,1051.60948889888
